WORDS,REPEAT_PROPENSITY
ABACK,7.0
ABASE,7.0
ABATE,7.0
ABBEY,7.0
ABBOT,7.0
ABHOR,5.0
ABIDE,5.0
ABLED,5.0
ABODE,5.0
ABORT,5.0
ABOUT,5.0
ABOVE,5.0
ABUSE,5.0
ABYSS,7.0
ACORN,5.0
ACRID,5.0
ACTOR,5.0
ACUTE,5.0
ADAGE,7.0
ADAPT,7.0
ADEPT,5.0
ADMIN,5.0
ADMIT,5.0
ADOBE,5.0
ADOPT,5.0
ADORE,5.0
ADORN,5.0
ADULT,5.0
AFFIX,7.0
AFIRE,5.0
AFOOT,7.0
AFOUL,5.0
AFTER,5.0
AGAIN,7.0
AGAPE,7.0
AGATE,7.0
AGENT,5.0
AGILE,5.0
AGING,7.0
AGLOW,5.0
AGONY,5.0
AGREE,7.0
AHEAD,7.0
AIDER,5.0
AISLE,5.0
ALARM,7.0
ALBUM,5.0
ALERT,5.0
ALGAE,7.0
ALIBI,7.0
ALIEN,5.0
ALIGN,5.0
ALIKE,5.0
ALIVE,5.0
ALLAY,9.0
ALLEY,7.0
ALLOT,7.0
ALLOW,7.0
ALLOY,7.0
ALOFT,5.0
ALONE,5.0
ALONG,5.0
ALOOF,7.0
ALOUD,5.0
ALPHA,7.0
ALTAR,7.0
ALTER,5.0
AMASS,9.0
AMAZE,7.0
AMBER,5.0
AMBLE,5.0
AMEND,5.0
AMISS,7.0
AMITY,5.0
AMONG,5.0
AMPLE,5.0
AMPLY,5.0
AMUSE,5.0
ANGEL,5.0
ANGER,5.0
ANGLE,5.0
ANGRY,5.0
ANGST,5.0
ANIME,5.0
ANKLE,5.0
ANNEX,7.0
ANNOY,7.0
ANNUL,7.0
ANODE,5.0
ANTIC,5.0
ANVIL,5.0
AORTA,7.0
APART,7.0
APHID,5.0
APING,5.0
APNEA,7.0
APPLE,7.0
APPLY,7.0
APRON,5.0
APTLY,5.0
ARBOR,7.0
ARDOR,7.0
ARENA,7.0
ARGUE,5.0
ARISE,5.0
ARMOR,7.0
AROMA,7.0
AROSE,5.0
ARRAY,9.0
ARROW,7.0
ARSON,5.0
ARTSY,5.0
ASCOT,5.0
ASHEN,5.0
ASIDE,5.0
ASKEW,5.0
ASSAY,9.0
ASSET,7.0
ATOLL,7.0
ATONE,5.0
ATTIC,7.0
AUDIO,5.0
AUDIT,5.0
AUGUR,7.0
AUNTY,5.0
AVAIL,7.0
AVERT,5.0
AVIAN,7.0
AVOID,5.0
AWAIT,7.0
AWAKE,7.0
AWARD,7.0
AWARE,7.0
AWASH,7.0
AWFUL,5.0
AWOKE,5.0
AXIAL,7.0
AXIOM,5.0
AXION,5.0
AZURE,5.0
BACON,5.0
BADGE,5.0
BADLY,5.0
BAGEL,5.0
BAGGY,7.0
BAKER,5.0
BALER,5.0
BALMY,5.0
